text,day,weekday,month,year,text_nt,day_bool,month_bool,year_bool,day_match,month_match,year_match,match
سلخ جمادى الأولى من سنة سبع وأربعين وستمائة,27- 30,,5.0,647,"['سلخ', 'جمادى', 'الاولى', 'من', 'سنة', 'سبع', 'واربعين', 'وستمائة']",,True,True,,5,647.0,"<re.Match object; span=(0, 44), match=' سلخ جمادى الاولى من سنة سبع واربعين وستمائة'>"
يوم الجمعة الثلاثاء مستهل صفر سنة ثلاث وتسعين وخمس مائة,1- 3,Yawm al-juma,2.0,593,"['يوم', 'الجمعة', 'الثلاثاء', 'مستهل', 'صفر', 'سنة', 'ثلاث', 'وتسعين', 'وخمس', 'مائة']",,True,True,,2,593.0,"<re.Match object; span=(0, 56), match=' يوم الجمعة الثلاثاء مستهل صفر سنة ثلاث وتسعين وخ>"
سلخ صفر سنة عشرين وخمس مائة,27- 30,,2.0,520,"['سلخ', 'صفر', 'سنة', 'عشرين', 'وخمس', 'مائة']",,True,True,,2,520.0,"<re.Match object; span=(0, 28), match=' سلخ صفر سنة عشرين وخمس مائة'>"
مستهل شهر ربيع الأول سنة عشرين وخمس مائة,1-3,,3.0,526,"['مستهل', 'شهر', 'ربيع', 'الاول', 'سنة', 'عشرين', 'وخمس', 'مائة']",,True,False,,3,520.0,"<re.Match object; span=(0, 41), match=' مستهل شهر ربيع الاول سنة عشرين وخمس مائة'>"
العشر الأول من شعبان سنة أربع عشرة وستمئة,1-10,,8.0,614,"['العشر', 'الاول', 'من', 'شعبان', 'سنة', 'اربع', 'عشرة', 'وستمئة']",,True,True,,8,614.0,"<re.Match object; span=(0, 42), match=' العشر الاول من شعبان سنة اربع عشرة وستمئة'>"
يوم الجمعة سلخ جمادى الأولى سنة اثنتين وثلاثين وسبعمائة,27- 30,Yawm al-juma,5.0,732,"['يوم', 'الجمعة', 'سلخ', 'جمادى', 'الاولى', 'سنة', 'اثنتين', 'وثلاثين', 'وسبعمائة']",,True,True,,5,732.0,"<re.Match object; span=(0, 56), match=' يوم الجمعة سلخ جمادى الاولى سنة اثنتين وثلاثين و>"
 يوم الأربعاء مستـ[ـهل] جمادى الآخرة سنة خمس وعشرين وسبعمائة,1-3,Yawm al-arba'a,6.0,725,"['يوم', 'الاربعاء', 'مستهل', 'جمادى', 'الاخرة', 'سنة', 'خمس', 'وعشرين', 'وسبعمائة']",,True,True,,6,725.0,"<re.Match object; span=(0, 56), match=' يوم الاربعاء مستهل جمادى الاخرة سنة خمس وعشرين و>"
 يوم الأحد في العشر الأول من شهر رجب من سنة أربع عشرة وست مائة,1-10,Yawm al-ahad,7.0,614,"['يوم', 'الاحد', 'في', 'العشر', 'الاول', 'من', 'شهر', 'رجب', 'من', 'سنة', 'اربع', 'عشرة', 'وست', 'مائة']",,True,True,,7,614.0,"<re.Match object; span=(0, 62), match=' يوم الاحد في العشر الاول من شهر رجب من سنة اربع >"
العشر الأول من ذي الحجة سنة إحدى وسبعين وستمائة,1-10,,12.0,671,"['العشر', 'الاول', 'من', 'ذي', 'الحجة', 'سنة', 'احدى', 'وسبعين', 'وستمائة']",,True,True,,12,671.0,"<re.Match object; span=(0, 48), match=' العشر الاول من ذي الحجة سنة احدى وسبعين وستمائة'>"
يوم الاثنين في العشر الأول من شهر رجب سنة تسع وسبعين وستمائة,1-10,Yawm al-ithnayn,7.0,679,"['يوم', 'الاثنين', 'في', 'العشر', 'الاول', 'من', 'شهر', 'رجب', 'سنة', 'تسع', 'وسبعين', 'وستمائة']",,True,True,,7,679.0,"<re.Match object; span=(0, 61), match=' يوم الاثنين في العشر الاول من شهر رجب سنة تسع وس>"
مستهل رمضان سنة ثلاث عشرة وتسعماية,1-3,,9.0,913,"['مستهل', 'رمضان', 'سنة', 'ثلاث', 'عشرة', 'وتسعماية']",,True,True,,9,913.0,"<re.Match object; span=(0, 35), match=' مستهل رمضان سنة ثلاث عشرة وتسعماية'>"
في مستهل جمادى الأولى سنة خمس وتسعين وخمس مائة,1-3,,5.0,595,"['في', 'مستهل', 'جمادى', 'الاولى', 'سنة', 'خمس', 'وتسعين', 'وخمس', 'مائة']",,True,True,,5,595.0,"<re.Match object; span=(0, 47), match=' في مستهل جمادى الاولى سنة خمس وتسعين وخمس مائة'>"
مستهل ذي القعدة سنة سبع وأربعين وثمان مائة,1- 3,,11.0,840,"['مستهل', 'ذي', 'القعدة', 'سنة', 'سبع', 'واربعين', 'وثمان', 'مائة']",,True,False,,11,847.0,"<re.Match object; span=(0, 43), match=' مستهل ذي القعدة سنة سبع واربعين وثمان مائة'>"
سلخ شعبان سنة ثلاث وخمسين وخمس مائة,27- 30,,8.0,553,"['سلخ', 'شعبان', 'سنة', 'ثلاث', 'وخمسين', 'وخمس', 'مائة']",,True,True,,8,553.0,"<re.Match object; span=(0, 36), match=' سلخ شعبان سنة ثلاث وخمسين وخمس مائة'>"
 المحرم افتتاح شهور سنة ست وتسعين [وثمانمائة],1- 3,,1.0,890,"['المحرم', 'افتتاح', 'شهور', 'سنة', 'ست', 'وتسعين', 'وثمانمائة']",,False,False,,,896.0,"<re.Match object; span=(0, 43), match=' المحرم افتتاح شهور سنة ست وتسعين وثمانمائة'>"
يوم الجمعة سلخ رمضان المعظم سنة اثنتين وثمانين وستمائة,27- 30,Yawm al-juma,9.0,682,"['يوم', 'الجمعة', 'سلخ', 'رمضان', 'المعظم', 'سنة', 'اثنتين', 'وثمانين', 'وستمائة']",,True,True,,9,682.0,"<re.Match object; span=(0, 55), match=' يوم الجمعة سلخ رمضان المعظم سنة اثنتين وثمانين و>"
سلخ سنة اثنتين وتسعين وأربعماية,27- 30,,12.0,492,"['سلخ', 'سنة', 'اثنتين', 'وتسعين', 'واربعماية']",,False,True,,,492.0,"<re.Match object; span=(0, 32), match=' سلخ سنة اثنتين وتسعين واربعماية'>"
 سلخ المحرم سنة اثنتين وتسعين وأربعمائة,27- 30,,1.0,492,"['سلخ', 'المحرم', 'سنة', 'اثنتين', 'وتسعين', 'واربعمائة']",,True,True,,1,492.0,"<re.Match object; span=(0, 39), match=' سلخ المحرم سنة اثنتين وتسعين واربعمائة'>"
غرة ربيع الأول من سنة ثلاث وثلاثين وخمسمائة,1-3,,3.0,533,"['غرة', 'ربيع', 'الاول', 'من', 'سنة', 'ثلاث', 'وثلاثين', 'وخمسمائة']",,True,True,,3,533.0,"<re.Match object; span=(0, 44), match=' غرة ربيع الاول من سنة ثلاث وثلاثين وخمسمائة'>"
في سلخ شهر ربيع الأول من سنة أربع وستين وخمسمائة,27- 30,,3.0,564,"['في', 'سلخ', 'شهر', 'ربيع', 'الاول', 'من', 'سنة', 'اربع', 'وستين', 'وخمسمائة']",,True,True,,3,564.0,"<re.Match object; span=(0, 49), match=' في سلخ شهر ربيع الاول من سنة اربع وستين وخمسمائة>"
سلخ شهر ربيع الأول من سنة أربع وستين وخمسمائة,27- 30,,3.0,564,"['سلخ', 'شهر', 'ربيع', 'الاول', 'من', 'سنة', 'اربع', 'وستين', 'وخمسمائة']",,True,True,,3,564.0,"<re.Match object; span=(0, 46), match=' سلخ شهر ربيع الاول من سنة اربع وستين وخمسمائة'>"
