text,day,weekday,month,year,text_nt,day_bool,month_bool,year_bool,day_match,month_match,year_match,match
العُشر الأخير من شهر ربيع الأول سنة تسع وتسعين وخمس مئة,21-30,,3.0,599,"['العشر', 'الاخير', 'من', 'شهر', 'ربيع', 'الاول', 'سنة', 'تسع', 'وتسعين', 'وخمس', 'مئة']",,True,True,,3,599.0,"<re.Match object; span=(0, 55), match=' العشر الاخير من شهر ربيع الاول سنة تسع وتسعين وخ>"
العُشر الأخير من شهر ربيع الأول سنة تسع وتسعين وخمس مئة,21-30,,3.0,599,"['العشر', 'الاخير', 'من', 'شهر', 'ربيع', 'الاول', 'سنة', 'تسع', 'وتسعين', 'وخمس', 'مئة']",,True,True,,3,599.0,"<re.Match object; span=(0, 55), match=' العشر الاخير من شهر ربيع الاول سنة تسع وتسعين وخ>"
يوم الاثنين ويوم الثلاثاء خامس وسادس وعشري شعبان سنة خمس وثلاثين وسـ[ـتمية],15-16,Yawm al-ithnayn - Yawm al-thalatha,8.0,635,"['يوم', 'الاثنين', 'ويوم', 'الثلاثاء', 'خامس', 'وسادس', 'وعشري', 'شعبان', 'سنة', 'خمس', 'وثلاثين', 'وستمية']",,True,True,10.0,8,635.0,"<re.Match object; span=(0, 72), match=' يوم الاثنين ويوم الثلاثاء خامس وسادس وعشري شعبان>"
العشر الأخير من شهر رمضان سنة أربع وتسعين وخمس ماية,20-30,,9.0,594,"['العشر', 'الاخير', 'من', 'شهر', 'رمضان', 'سنة', 'اربع', 'وتسعين', 'وخمس', 'ماية']",,True,True,,9,594.0,"<re.Match object; span=(0, 52), match=' العشر الاخير من شهر رمضان سنة اربع وتسعين وخمس م>"
يوم الثلاثاء مستهل ربيع الأول سنة أربعين وسبعمية,1-3,Yawm al-thalatha,3.0,740,"['يوم', 'الثلاثاء', 'مستهل', 'ربيع', 'الاول', 'سنة', 'اربعين', 'وسبعمية']",,True,True,,3,740.0,"<re.Match object; span=(0, 49), match=' يوم الثلاثاء مستهل ربيع الاول سنة اربعين وسبعمية>"
العشر الأول من شهر ربيع الأول سنة اثنتين وعشرين وستماية,1-10,,3.0,622,"['العشر', 'الاول', 'من', 'شهر', 'ربيع', 'الاول', 'سنة', 'اثنتين', 'وعشرين', 'وستماية']",,True,True,,3,622.0,"<re.Match object; span=(0, 56), match=' العشر الاول من شهر ربيع الاول سنة اثنتين وعشرين >"
ليلة الثلاثاء منتصف شهر ربيع الآخر سنة ست عشرة وسبعماية,15.,Yawm al-thalatha,4.0,716,"['ليلة', 'الثلاثاء', 'منتصف', 'شهر', 'ربيع', 'الاخر', 'سنة', 'ست', 'عشرة', 'وسبعماية']",,True,True,,4,716.0,"<re.Match object; span=(0, 56), match=' ليلة الثلاثاء منتصف شهر ربيع الاخر سنة ست عشرة و>"
يوم الثلاثاء في العشر الأخير من صفر سنة سبع وستماية,21-30,Yawm al-thalatha,2.0,607,"['يوم', 'الثلاثاء', 'في', 'العشر', 'الاخير', 'من', 'صفر', 'سنة', 'سبع', 'وستماية']",,True,True,,2,607.0,"<re.Match object; span=(0, 52), match=' يوم الثلاثاء في العشر الاخير من صفر سنة سبع وستم>"
العشر الأخير من صفر سنة سبع وستماية,21-30,,2.0,607,"['العشر', 'الاخير', 'من', 'صفر', 'سنة', 'سبع', 'وستماية']",,True,True,,2,607.0,"<re.Match object; span=(0, 36), match=' العشر الاخير من صفر سنة سبع وستماية'>"
يوم الجمعة في العشر الأخير من صفر سنة سبع وستماية,21-30,Yawm al-juma,2.0,607,"['يوم', 'الجمعة', 'في', 'العشر', 'الاخير', 'من', 'صفر', 'سنة', 'سبع', 'وستماية']",,True,True,,2,607.0,"<re.Match object; span=(0, 50), match=' يوم الجمعة في العشر الاخير من صفر سنة سبع وستماي>"
في العشر الخير من صفر سنة سبع وستماية,21- 30,,2.0,607,"['في', 'العشر', 'الخير', 'من', 'صفر', 'سنة', 'سبع', 'وستماية']",,True,True,,2,607.0,"<re.Match object; span=(0, 38), match=' في العشر الخير من صفر سنة سبع وستماية'>"
يوم السبت سلخ جمادى الآخرة من سنة ست وتسعين وخمسماية,21- 30,Yawm al-sabt,6.0,596,"['يوم', 'السبت', 'سلخ', 'جمادى', 'الاخرة', 'من', 'سنة', 'ست', 'وتسعين', 'وخمسماية']",,True,True,,6,596.0,"<re.Match object; span=(0, 53), match=' يوم السبت سلخ جمادى الاخرة من سنة ست وتسعين وخمس>"
يوم الاثنين في العشر الأخير من صفر سنة سبع وستماية,21- 30,Yawm al-ithnayn,2.0,607,"['يوم', 'الاثنين', 'في', 'العشر', 'الاخير', 'من', 'صفر', 'سنة', 'سبع', 'وستماية']",,True,True,,2,607.0,"<re.Match object; span=(0, 51), match=' يوم الاثنين في العشر الاخير من صفر سنة سبع وستما>"
يوم السبت سلخ جمادى الآخرة من سنة ست وتسعين وخمسماية,21- 30,Yawm al-sabt,6.0,596,"['يوم', 'السبت', 'سلخ', 'جمادى', 'الاخرة', 'من', 'سنة', 'ست', 'وتسعين', 'وخمسماية']",,True,True,,6,596.0,"<re.Match object; span=(0, 53), match=' يوم السبت سلخ جمادى الاخرة من سنة ست وتسعين وخمس>"
يوم السبت سلخ جمادى الآخرة من سنة ست وتسعين وخمسماية,21- 30,Yawm al-sabt,6.0,596,"['يوم', 'السبت', 'سلخ', 'جمادى', 'الاخرة', 'من', 'سنة', 'ست', 'وتسعين', 'وخمسماية']",,True,True,,6,596.0,"<re.Match object; span=(0, 53), match=' يوم السبت سلخ جمادى الاخرة من سنة ست وتسعين وخمس>"
يوم السبت سلخ جمادى الآخرة من سنة ست وتسعين وخمسماية ,21- 30,Yawm al-sabt,6.0,596,"['يوم', 'السبت', 'سلخ', 'جمادى', 'الاخرة', 'من', 'سنة', 'ست', 'وتسعين', 'وخمسماية']",,True,True,,6,596.0,"<re.Match object; span=(0, 53), match=' يوم السبت سلخ جمادى الاخرة من سنة ست وتسعين وخمس>"
 يوم الأحد سلخ جمادى الآخرة من سنة ست وتسعين وخمسماية,21- 30,Yawm al-ahad,6.0,596,"['يوم', 'الاحد', 'سلخ', 'جمادى', 'الاخرة', 'من', 'سنة', 'ست', 'وتسعين', 'وخمسماية']",,True,True,,6,596.0,"<re.Match object; span=(0, 53), match=' يوم الاحد سلخ جمادى الاخرة من سنة ست وتسعين وخمس>"
مستهل رجب سنة ست وتسعين وخمسماية,1-3,,7.0,596,"['مستهل', 'رجب', 'سنة', 'ست', 'وتسعين', 'وخمسماية']",,True,True,,7,596.0,"<re.Match object; span=(0, 33), match=' مستهل رجب سنة ست وتسعين وخمسماية'>"
يوم الأحد سلخ جمادى الآخرة من سنة ست وتسعين وخمسماية,21- 30,Yawm al-ahad,6.0,596,"['يوم', 'الاحد', 'سلخ', 'جمادى', 'الاخرة', 'من', 'سنة', 'ست', 'وتسعين', 'وخمسماية']",,True,True,,6,596.0,"<re.Match object; span=(0, 53), match=' يوم الاحد سلخ جمادى الاخرة من سنة ست وتسعين وخمس>"
في مستهل رجب سنة ست وتسعين وخمسماية,1- 3,,7.0,596,"['في', 'مستهل', 'رجب', 'سنة', 'ست', 'وتسعين', 'وخمسماية']",,True,True,,7,596.0,"<re.Match object; span=(0, 36), match=' في مستهل رجب سنة ست وتسعين وخمسماية'>"
يوم الاثنين مستهل [رجب من سنة ست وتسعين وخمسماية,1- 3,Yawm al-ithnayn,7.0,596,"['يوم', 'الاثنين', 'مستهل', 'رجب', 'من', 'سنة', 'ست', 'وتسعين', 'وخمسماية']",,True,True,,7,596.0,"<re.Match object; span=(0, 48), match=' يوم الاثنين مستهل رجب من سنة ست وتسعين وخمسماية'>"
في يوم الاثنين مستهل رجب من سنة ست وتسعين وخمسماية,1- 3,Yawm al-ithnayn,7.0,596,"['في', 'يوم', 'الاثنين', 'مستهل', 'رجب', 'من', 'سنة', 'ست', 'وتسعين', 'وخمسماية']",,True,True,,7,596.0,"<re.Match object; span=(0, 51), match=' في يوم الاثنين مستهل رجب من سنة ست وتسعين وخمسما>"
يوم الأحد في العشر الأخير من صفر سنة سبع وستمائة,21- 30,Yawm al-ahad,2.0,607,"['يوم', 'الاحد', 'في', 'العشر', 'الاخير', 'من', 'صفر', 'سنة', 'سبع', 'وستمائة']",,True,True,,2,607.0,"<re.Match object; span=(0, 49), match=' يوم الاحد في العشر الاخير من صفر سنة سبع وستمائة>"
في أواخر شهر رجب الفرد سنة ست عشرة وسبع,25- 30,,7.0,716,"['في', 'اواخر', 'شهر', 'رجب', 'الفرد', 'سنة', 'ست', 'عشرة', 'وسبع']",,True,False,,7,16.0,"<re.Match object; span=(0, 35), match=' في اواخر شهر رجب الفرد سنة ست عشرة'>"
أواخر ذي قعدة سنة ست [و] سبعين وخمس ماية,25- 30,,11.0,576,"['اواخر', 'ذي', 'قعدة', 'سنة', 'ست', 'و', 'سبعين', 'وخمس', 'ماية']",,True,False,,11,6.0,"<re.Match object; span=(0, 21), match=' اواخر ذي قعدة سنة ست'>"
 في العشر الأوسط من شهر شعبان من شهور سنة اثنتين وسبعين وخمسمائة,11- 20,,8.0,572,"['في', 'العشر', 'الاوسط', 'من', 'شهر', 'شعبان', 'من', 'شهور', 'سنة', 'اثنتين', 'وسبعين', 'وخمسمائة']",,True,True,,8,572.0,"<re.Match object; span=(0, 64), match=' في العشر الاوسط من شهر شعبان من شهور سنة اثنتين >"
شوال من سنة خمس وستين وخمس مائة,1- 5,,10.0,565,"['شوال', 'من', 'سنة', 'خمس', 'وستين', 'وخمس', 'مائة']",,True,True,,10,565.0,"<re.Match object; span=(0, 32), match=' شوال من سنة خمس وستين وخمس مائة'>"
مستهل ذي القعدة سنة خمس وثمانين وخمس ماية,1-3,,11.0,585,"['مستهل', 'ذي', 'القعدة', 'سنة', 'خمس', 'وثمانين', 'وخمس', 'ماية']",,True,True,,11,585.0,"<re.Match object; span=(0, 42), match=' مستهل ذي القعدة سنة خمس وثمانين وخمس ماية'>"
يوم السبت غرة جمادى الآخرة سنة خمس وخمسين وستماية,1- 3,Yawm al-sabt,6.0,655,"['يوم', 'السبت', 'غرة', 'جمادى', 'الاخرة', 'سنة', 'خمس', 'وخمسين', 'وستماية']",,True,True,,6,655.0,"<re.Match object; span=(0, 50), match=' يوم السبت غرة جمادى الاخرة سنة خمس وخمسين وستماي>"
في العشر الأوسط من شهر جمادى الأولى سنة سبع وثمانين وخمس [ماية],11- 20,,5.0,587,"['في', 'العشر', 'الاوسط', 'من', 'شهر', 'جمادى', 'الاولى', 'سنة', 'سبع', 'وثمانين', 'وخمس', 'ماية']",,True,True,,5,587.0,"<re.Match object; span=(0, 62), match=' في العشر الاوسط من شهر جمادى الاولى سنة سبع وثما>"
سلخ ذي القعدة من سنة سبع وأربعين وخمس ماية,25- 30,,11.0,547,"['سلخ', 'ذي', 'القعدة', 'من', 'سنة', 'سبع', 'واربعين', 'وخمس', 'ماية']",,True,True,,11,547.0,"<re.Match object; span=(0, 43), match=' سلخ ذي القعدة من سنة سبع واربعين وخمس ماية'>"
يوم الجمعة في العشر الأخر من جمادى الآخرة من سنة تسع وعشرين وست ماية,21- 30,Yawm al-juma,6.0,629,"['يوم', 'الجمعة', 'في', 'العشر', 'الاخر', 'من', 'جمادى', 'الاخرة', 'من', 'سنة', 'تسع', 'وعشرين', 'وست', 'ماية']",,True,True,,6,629.0,"<re.Match object; span=(0, 69), match=' يوم الجمعة في العشر الاخر من جمادى الاخرة من سنة>"
يوم الجمعة في العشر الأخير من المحرم سنة اثنتين وثلاثين وستماية,21- 30,Yawm al-juma,1.0,632,"['يوم', 'الجمعة', 'في', 'العشر', 'الاخير', 'من', 'المحرم', 'سنة', 'اثنتين', 'وثلاثين', 'وستماية']",,True,True,,1,632.0,"<re.Match object; span=(0, 64), match=' يوم الجمعة في العشر الاخير من المحرم سنة اثنتين >"
الجمعة في العشر الأخير من صفر سنة خمس وثلاثين وستمائة,21- 30,Yawm al-juma,2.0,635,"['الجمعة', 'في', 'العشر', 'الاخير', 'من', 'صفر', 'سنة', 'خمس', 'وثلاثين', 'وستمائة']",,True,True,,2,635.0,"<re.Match object; span=(0, 54), match=' الجمعة في العشر الاخير من صفر سنة خمس وثلاثين وس>"
 يوم الأربعاء في العشر الأخير من رجب سنة ثمان وثلاثين وستمائة,21- 30,Yawm al-arba'a,7.0,638,"['يوم', 'الاربعاء', 'في', 'العشر', 'الاخير', 'من', 'رجب', 'سنة', 'ثمان', 'وثلاثين', 'وستمائة']",,True,True,,7,638.0,"<re.Match object; span=(0, 61), match=' يوم الاربعاء في العشر الاخير من رجب سنة ثمان وثل>"
وم الجمعة في العشر الأوسط من جمادى الأولى سنة اثنتين وأربعين وست ماية,11- 20,Yawm al-juma,5.0,642,"['وم', 'الجمعة', 'في', 'العشر', 'الاوسط', 'من', 'جمادى', 'الاولى', 'سنة', 'اثنتين', 'واربعين', 'وست', 'ماية']",,True,True,,5,642.0,"<re.Match object; span=(0, 70), match=' وم الجمعة في العشر الاوسط من جمادى الاولى سنة اث>"
يوم الأحد سلخ المحرم سنة ثلاث وأربعين وستماية,25- 30,Yawm al-ahad,1.0,643,"['يوم', 'الاحد', 'سلخ', 'المحرم', 'سنة', 'ثلاث', 'واربعين', 'وستماية']",,True,True,,1,643.0,"<re.Match object; span=(0, 46), match=' يوم الاحد سلخ المحرم سنة ثلاث واربعين وستماية'>"
 يوم الثلاثاء في العشر الأخير من رجب سنة ست وثمانين وستمية,21- 30,Yawm al-thalatha,7.0,686,"['يوم', 'الثلاثاء', 'في', 'العشر', 'الاخير', 'من', 'رجب', 'سنة', 'ست', 'وثمانين', 'وستمية']",,True,True,,7,686.0,"<re.Match object; span=(0, 58), match=' يوم الثلاثاء في العشر الاخير من رجب سنة ست وثمان>"
يوم الخميس في العـ[ـشر] الأخير من صفر سنة ثلاث وثلاثين وست ماية,21- 30,Yawm al-khamis,2.0,633,"['يوم', 'الخميس', 'في', 'العشر', 'الاخير', 'من', 'صفر', 'سنة', 'ثلاث', 'وثلاثين', 'وست', 'ماية']",,True,True,,2,633.0,"<re.Match object; span=(0, 60), match=' يوم الخميس في العشر الاخير من صفر سنة ثلاث وثلاث>"
يوم الاثنين من العشر الأخير من جمادى الآخرة من سنة أربعين وستماية,21- 30,Yawm al-ithnayn,6.0,640,"['يوم', 'الاثنين', 'من', 'العشر', 'الاخير', 'من', 'جمادى', 'الاخرة', 'من', 'سنة', 'اربعين', 'وستماية']",,True,True,,6,640.0,"<re.Match object; span=(0, 66), match=' يوم الاثنين من العشر الاخير من جمادى الاخرة من س>"
سلخ رمضان سنة أربع وأربعين وخمسماية,27- 30,,9.0,544,"['سلخ', 'رمضان', 'سنة', 'اربع', 'واربعين', 'وخمسماية']",,True,True,,9,544.0,"<re.Match object; span=(0, 36), match=' سلخ رمضان سنة اربع واربعين وخمسماية'>"
يوم الثلاثاء غرة رجب من سنة تسع وتسعين وخمسماية,1- 3,Yawm al-thalatha,7.0,599,"['يوم', 'الثلاثاء', 'غرة', 'رجب', 'من', 'سنة', 'تسع', 'وتسعين', 'وخمسماية']",,True,True,,7,599.0,"<re.Match object; span=(0, 48), match=' يوم الثلاثاء غرة رجب من سنة تسع وتسعين وخمسماية'>"
يوم الأربعاء في العشر الأخير من جمادى الآخرة سنة سبع وثلاثين وستماية,21- 30,Yawm al-arba'a,6.0,637,"['يوم', 'الاربعاء', 'في', 'العشر', 'الاخير', 'من', 'جمادى', 'الاخرة', 'سنة', 'سبع', 'وثلاثين', 'وستماية']",,True,True,,6,637.0,"<re.Match object; span=(0, 69), match=' يوم الاربعاء في العشر الاخير من جمادى الاخرة سنة>"
العشر الأوسط من شهر ذي القعدة سنة إحدى وستين وستماية,11- 20,,11.0,661,"['العشر', 'الاوسط', 'من', 'شهر', 'ذي', 'القعدة', 'سنة', 'احدى', 'وستين', 'وستماية']",,True,True,,11,661.0,"<re.Match object; span=(0, 53), match=' العشر الاوسط من شهر ذي القعدة سنة احدى وستين وست>"
 نهار الخميس مستهل جمادى الأولى سنة تسع وسبعين وستمية,1- 3,Yawm al-khamis,5.0,679,"['نهار', 'الخميس', 'مستهل', 'جمادى', 'الاولى', 'سنة', 'تسع', 'وسبعين', 'وستمية']",,True,True,,5,679.0,"<re.Match object; span=(0, 53), match=' نهار الخميس مستهل جمادى الاولى سنة تسع وسبعين وس>"
يوم الجمعة في العشر الأوسط من ذي الحجة من سنة أربع وثلاثين وست ماية,11- 20,Yawm al-juma,12.0,634,"['يوم', 'الجمعة', 'في', 'العشر', 'الاوسط', 'من', 'ذي', 'الحجة', 'من', 'سنة', 'اربع', 'وثلاثين', 'وست', 'ماية']",,True,True,,12,634.0,"<re.Match object; span=(0, 68), match=' يوم الجمعة في العشر الاوسط من ذي الحجة من سنة ار>"
يوم الأحد في ثاني شهر ذي الحجة من سنة خمس وست مائة,,Yawm al-ahad,12.0,605,"['يوم', 'الاحد', 'في', 'ثاني', 'شهر', 'ذي', 'الحجة', 'من', 'سنة', 'خمس', 'وست', 'مائة']",,True,True,2.0,12,605.0,"<re.Match object; span=(0, 51), match=' يوم الاحد في ثاني شهر ذي الحجة من سنة خمس وست ما>"
في العشر الأخير من شهر ذي الحجة سنة ثلاثين وستمائة,21- 30,,12.0,630,"['في', 'العشر', 'الاخير', 'من', 'شهر', 'ذي', 'الحجة', 'سنة', 'ثلاثين', 'وستمائة']",,True,True,,12,630.0,"<re.Match object; span=(0, 51), match=' في العشر الاخير من شهر ذي الحجة سنة ثلاثين وستما>"
يوم الاثنين مستهل ربيع الأول سنة اثنتين وأربعين وستمائة,1- 3,Yawm al-ithnayn,3.0,642,"['يوم', 'الاثنين', 'مستهل', 'ربيع', 'الاول', 'سنة', 'اثنتين', 'واربعين', 'وستمائة']",,True,True,,3,642.0,"<re.Match object; span=(0, 56), match=' يوم الاثنين مستهل ربيع الاول سنة اثنتين واربعين >"
يوم الخميس في العشر الوسط من ربيع الأول سنة أربع وثلاثين وستمائة ,11- 20,Yawm al-khamis,3.0,634,"['يوم', 'الخميس', 'في', 'العشر', 'الوسط', 'من', 'ربيع', 'الاول', 'سنة', 'اربع', 'وثلاثين', 'وستمائة']",,True,True,,3,634.0,"<re.Match object; span=(0, 65), match=' يوم الخميس في العشر الوسط من ربيع الاول سنة اربع>"
 يوم الاثنين سلخ شهر ربيع الأول سنة اثنتين وأربعين و[ستمائة],27- 30,Yawm al-ithnayn,3.0,642,"['يوم', 'الاثنين', 'سلخ', 'شهر', 'ربيع', 'الاول', 'سنة', 'اثنتين', 'واربعين', 'وستمائة']",,True,True,,3,642.0,"<re.Match object; span=(0, 58), match=' يوم الاثنين سلخ شهر ربيع الاول سنة اثنتين واربعي>"
في يوم الجمعة [...] عشر شهر ربيع الآخر سنة اثنتين وأربعين وستمئة,11- 19,Yawm al-juma,4.0,642,"['في', 'يوم', 'الجمعة', '.', '.', '.', 'عشر', 'شهر', 'ربيع', 'الاخر', 'سنة', 'اثنتين', 'واربعين', 'وستمئة']",,True,True,10.0,4,642.0,"<re.Match object; span=(20, 65), match=' عشر شهر ربيع الاخر سنة اثنتين واربعين وستمئة'>"
في العشر الأول من ذي الحجة سنة إحدى وخمسين وستمائة,1- 9,,12.0,651,"['في', 'العشر', 'الاول', 'من', 'ذي', 'الحجة', 'سنة', 'احدى', 'وخمسين', 'وستمائة']",,True,True,,12,651.0,"<re.Match object; span=(0, 51), match=' في العشر الاول من ذي الحجة سنة احدى وخمسين وستما>"
مستهل شهر رمضان من سنة اثنتين وستمائة,1- 3,,9.0,602,"['مستهل', 'شهر', 'رمضان', 'من', 'سنة', 'اثنتين', 'وستمائة']",,True,True,,9,602.0,"<re.Match object; span=(0, 38), match=' مستهل شهر رمضان من سنة اثنتين وستمائة'>"
يوم الخميس سلخ شهر رجب سنة ثلاث وعشرين وسبعماية,27- 30,Yawm al-khamis,7.0,723,"['يوم', 'الخميس', 'سلخ', 'شهر', 'رجب', 'سنة', 'ثلاث', 'وعشرين', 'وسبعماية']",,True,True,,7,723.0,"<re.Match object; span=(0, 48), match=' يوم الخميس سلخ شهر رجب سنة ثلاث وعشرين وسبعماية'>"
يوم الأربعاء في العشر الأخير من ذي القعدة من سنة ثلاث وثلاثين وست مائة,21- 30,Yawm al-arba'a,11.0,633,"['يوم', 'الاربعاء', 'في', 'العشر', 'الاخير', 'من', 'ذي', 'القعدة', 'من', 'سنة', 'ثلاث', 'وثلاثين', 'وست', 'مائة']",,True,True,,11,633.0,"<re.Match object; span=(0, 71), match=' يوم الاربعاء في العشر الاخير من ذي القعدة من سنة>"
ليلة السبت سلخ شوال عام ستة عشر وسبعماية,27- 30,Yawm al-sabt,10.0,716,"['ليلة', 'السبت', 'سلخ', 'شوال', 'عام', 'ستة', 'عشر', 'وسبعماية']",,True,False,,10,,"<re.Match object; span=(0, 24), match=' ليلة السبت سلخ شوال عام'>"
الثلاثاء في العشر الأخير من جمادى الأولى سنة اثنتين وخمسين وستمائة,21- 30,Yawm al-thalatha,5.0,652,"['الثلاثاء', 'في', 'العشر', 'الاخير', 'من', 'جمادى', 'الاولى', 'سنة', 'اثنتين', 'وخمسين', 'وستمائة']",,True,True,,5,652.0,"<re.Match object; span=(0, 67), match=' الثلاثاء في العشر الاخير من جمادى الاولى سنة اثن>"
في العشر الأوسط من ربيع الأول سنة خمس وستين وستماية,11- 20,,3.0,665,"['في', 'العشر', 'الاوسط', 'من', 'ربيع', 'الاول', 'سنة', 'خمس', 'وستين', 'وستماية']",,True,True,,3,665.0,"<re.Match object; span=(0, 52), match=' في العشر الاوسط من ربيع الاول سنة خمس وستين وستم>"
غرة صفر من شهور سنة إحدى وتسعين وأربعماية,1- 3,Yawm al-juma,2.0,491,"['غرة', 'صفر', 'من', 'شهور', 'سنة', 'احدى', 'وتسعين', 'واربعماية']",,True,True,,2,491.0,"<re.Match object; span=(0, 42), match=' غرة صفر من شهور سنة احدى وتسعين واربعماية'>"
المستهل من جمادى الأولى من سنة خمس وأربعين وستمائة,1-3,,5.0,645,"['المستهل', 'من', 'جمادى', 'الاولى', 'من', 'سنة', 'خمس', 'واربعين', 'وستمائة']",,True,True,,5,645.0,"<re.Match object; span=(0, 51), match=' المستهل من جمادى الاولى من سنة خمس واربعين وستما>"
يوم السبت سلخ شوال من سنة ست وسبعين وستمئة,27- 30,Yawm al-sabt,10.0,676,"['يوم', 'السبت', 'سلخ', 'شوال', 'من', 'سنة', 'ست', 'وسبعين', 'وستمئة']",,True,True,,10,676.0,"<re.Match object; span=(0, 43), match=' يوم السبت سلخ شوال من سنة ست وسبعين وستمئة'>"
يوم السبت مستهل ذي القعدة سنة تسع عشرة وسبعمائة,1-3,Yawm al-sabt,11.0,719,"['يوم', 'السبت', 'مستهل', 'ذي', 'القعدة', 'سنة', 'تسع', 'عشرة', 'وسبعمائة']",,True,True,,11,719.0,"<re.Match object; span=(0, 48), match=' يوم السبت مستهل ذي القعدة سنة تسع عشرة وسبعمائة'>"
يوم الجمعة سلخ جمادى الأولى سنة اثنتين وسبعين وخمسماية,27- 30,Yawm al-juma,5.0,572,"['يوم', 'الجمعة', 'سلخ', 'جمادى', 'الاولى', 'سنة', 'اثنتين', 'وسبعين', 'وخمسماية']",,True,True,,5,572.0,"<re.Match object; span=(0, 55), match=' يوم الجمعة سلخ جمادى الاولى سنة اثنتين وسبعين وخ>"
يوم الخميس سلخ ذي القعدة سنة ثمان وأربعين وستمائة,27- 30,Yawm al-khamis,11.0,648,"['يوم', 'الخميس', 'سلخ', 'ذي', 'القعدة', 'سنة', 'ثمان', 'واربعين', 'وستمائة']",,True,True,,11,648.0,"<re.Match object; span=(0, 50), match=' يوم الخميس سلخ ذي القعدة سنة ثمان واربعين وستمائ>"
يوم الجمعة غرة صفر سنة أربع عشرة وسبعمئة,1- 3,Yawm al-juma,2.0,714,"['يوم', 'الجمعة', 'غرة', 'صفر', 'سنة', 'اربع', 'عشرة', 'وسبعمئة']",,True,True,,2,714.0,"<re.Match object; span=(0, 41), match=' يوم الجمعة غرة صفر سنة اربع عشرة وسبعمئة'>"
يوم الأربعاء مستهل صفر سنة سبع وسبع مائة,1- 3,Yawm al-arba'a,2.0,707,"['يوم', 'الاربعاء', 'مستهل', 'صفر', 'سنة', 'سبع', 'وسبع', 'مائة']",,True,True,,2,707.0,"<re.Match object; span=(0, 41), match=' يوم الاربعاء مستهل صفر سنة سبع وسبع مائة'>"
سلخ جمادى الأول سنة تسع وثلاثين وستمئة,27- 30,,5.0,639,"['سلخ', 'جمادى', 'الاول', 'سنة', 'تسع', 'وثلاثين', 'وستمئة']",,True,True,,5,639.0,"<re.Match object; span=(0, 39), match=' سلخ جمادى الاول سنة تسع وثلاثين وستمئة'>"
في أوائل جمادى الآخرة سنة سبع وستمئة,1- 3,,6.0,607,"['في', 'اوائل', 'جمادى', 'الاخرة', 'سنة', 'سبع', 'وستمئة']",,True,True,,6,607.0,"<re.Match object; span=(0, 37), match=' في اوائل جمادى الاخرة سنة سبع وستمئة'>"
في العشر الأخير من ربيع الأول سنة ثمان وستين وستمائة,21- 30,,3.0,668,"['في', 'العشر', 'الاخير', 'من', 'ربيع', 'الاول', 'سنة', 'ثمان', 'وستين', 'وستمائة']",,True,True,,3,668.0,"<re.Match object; span=(0, 53), match=' في العشر الاخير من ربيع الاول سنة ثمان وستين وست>"
يوم الخميس في العشر الأول من ربيع الأول سنة ثمان وسبعين وستمائة,1- 10,Yawm al-khamis,3.0,678,"['يوم', 'الخميس', 'في', 'العشر', 'الاول', 'من', 'ربيع', 'الاول', 'سنة', 'ثمان', 'وسبعين', 'وستمائة']",,True,True,,3,678.0,"<re.Match object; span=(0, 64), match=' يوم الخميس في العشر الاول من ربيع الاول سنة ثمان>"
 يوم الجمعة في آخر شهر رجب من سنة اثنتين وثلاثين وستمائة,27- 30,Yawm al-juma,7.0,632,"['يوم', 'الجمعة', 'في', 'اخر', 'شهر', 'رجب', 'من', 'سنة', 'اثنتين', 'وثلاثين', 'وستمائة']",,True,True,,7,632.0,"<re.Match object; span=(0, 56), match=' يوم الجمعة في اخر شهر رجب من سنة اثنتين وثلاثين >"
يوم الخميس بعد العصر في سلخ المحرم سنة أربع عشر وستمائة,27- 30,Yawm al-khamis,1.0,614,"['يوم', 'الخميس', 'بعد', 'العصر', 'في', 'سلخ', 'المحرم', 'سنة', 'اربع', 'عشر', 'وستمائة']",,True,True,,1,614.0,"<re.Match object; span=(0, 56), match=' يوم الخميس بعد العصر في سلخ المحرم سنة اربع عشر >"
سلخ جمادى الآخرة سنة تسع وثلاثين وستمائة,27- 30,,6.0,639,"['سلخ', 'جمادى', 'الاخرة', 'سنة', 'تسع', 'وثلاثين', 'وستمائة']",,True,True,,6,639.0,"<re.Match object; span=(0, 41), match=' سلخ جمادى الاخرة سنة تسع وثلاثين وستمائة'>"
يوم الاثنين في العشر الأوسط من ذي الحجة سنة خمس وسبعين وستمائة,11-20,Yawm al-ithnayn,12.0,675,"['يوم', 'الاثنين', 'في', 'العشر', 'الاوسط', 'من', 'ذي', 'الحجة', 'سنة', 'خمس', 'وسبعين', 'وستمائة']",,True,True,,12,675.0,"<re.Match object; span=(0, 63), match=' يوم الاثنين في العشر الاوسط من ذي الحجة سنة خمس >"
 يوم الجمعة سلخ ربيع الأول سنة إحدى وخمسين وستمائة,27- 30,Yawm al-juma,3.0,651,"['يوم', 'الجمعة', 'سلخ', 'ربيع', 'الاول', 'سنة', 'احدى', 'وخمسين', 'وستمائة']",,True,True,,3,651.0,"<re.Match object; span=(0, 50), match=' يوم الجمعة سلخ ربيع الاول سنة احدى وخمسين وستمائ>"
