,geometry,toponyms,value_counts
12,POINT (51.76932 29.326),"['نهر جرسيق', 'نهر جرشيق']",
14,POINT (45.3766 39.34739),['النشوى'],
15,POINT (47.85286 38.96621),['برزند'],
16,POINT (45.01502 33.97686),"['الهاروني', 'طرستان']",
17,POINT (-0.41486 39.43516),['بلنسية'],
18,POINT (71.95478 40.94221),"['نهر شاش', 'صيحون']",
19,POINT (63.3667 35.5925),['مرو الروذ'],
20,POINT (63.09182 39.3967),['نهر جيحون'],
21,POINT (51.35722 36.39749),['سعيداباذ'],
22,POINT (49.00372 37.79153),['كهنروذ'],
23,POINT (63.82036 39.99849),['رباط تاش'],
24,POINT (48.881 31.02269),"['مندم', 'بندم']",
25,POINT (30.70832 31.16283),['سنهور'],
26,POINT (50.22312 25.5589),['العقير'],
27,POINT (52.04723 35.68449),['شلنبة'],
28,POINT (48.8394 36.97532),"['نهر اسبيذروذ', 'نهر سبيذروذ']",
29,POINT (2.84472 41.93607),['جرندة'],
30,POINT (10.68123 34.83148),['قبيشة'],
31,POINT (63.00426 34.3371),['ماراباذ'],
32,POINT (54.05573 36.7312),"['طميشة', 'طميسة']",
33,POINT (44.34672 15.62405),['خشب'],
34,POINT (42.1041 20.30924),['رنية'],
35,POINT (43.61126 29.78571),['القاء'],
37,POINT (57.10475 30.30962),"['بردسير', 'بردشير', 'كوشير']",
38,POINT (66.38343 26.23769),"['ارمابيل', 'ارمائيل']",
39,POINT (30.43738 30.75268),['الحوف الغربي'],
40,POINT (52.92548 29.54062),['داريان'],
42,POINT (30.15818 31.10144),['خليج الاسكندرية'],
43,POINT (-8.48333 38.36698),['قصر بنو ورداس'],
44,POINT (30.61583 31.02501),['محلة ابو خراشة'],
45,POINT (68.77093000000001 36.2356),['بغلان'],
47,POINT (66.88305 36.78497),['بلخ'],
48,POINT (39.56795 22.38571),"['الخيم', 'خيم ام معبد', 'قديد']",
49,POINT (42.73173 15.22479),['الحردة'],
50,POINT (54.37503 36.13093),['الدمغان'],
51,POINT (30.82245 30.86818),['قليب العمال'],
52,POINT (70.3873 39.19555),['الرشت'],
53,POINT (66.63169000000001 39.7739),['زرمان'],
54,POINT (65.00452 32.71541),['بغنين'],
55,POINT (68.49336 38.95345),['البتم'],
