,text_nt
5389,"['شافِعِيّ', 'فاضِل', 'لَقِي', 'ثِنْي', 'قَرَأ', 'دَرْس', 'تَقْرِيب', 'إِلْف', 'عِراقِيّ', 'نُخْبَة', 'سَمِع', 'شَيْء', 'فاضِل', 'مَجِيد', 'لِسان', 'عَرَبِيّ', 'تَكَلَّف']"
5390,"['حُسَيْنِيّ', 'سَكَن', 'مُعْتَقَد', 'ذَكَر', 'شَيْخ', 'نَبَأ', 'مُقِيم', 'ٱِعْتَقَد', 'مُقِيم', 'ظاهِر', 'تَحَوَّل', 'بَنَى', 'زاوِيَة', 'ٱِتَّفَق', 'أَمْر', 'بَنَى', 'قَبْر', 'بِنْيَة', 'ٱِنْتَهَى', 'عِمارَة', 'ضُعْف', 'مات', 'دَفَن', 'مُحَرَّم', 'حَكَى', 'كَرّام', 'ومكاشفات', 'غالِب', 'ثَمَل', 'حِجازِيّ', 'فَقِيه', 'حَلَبِيّ', 'أَزال']"
5391,"['مِصْرِيّ', 'عَرَف', 'والِي', 'قاضِي', 'أُذُن', 'مَنار', 'هَوِي', 'شَرْط', 'فاضِل', 'مات', 'مَضَى', 'شَيْخ', 'مُعْتَقَد', 'الساسي']"
5392,"['ٱِبْن', 'مات']"
5393,"['الشحري', 'تاجِر', 'تَرَدَّد', 'زَوْج', 'رَبّ', 'كَفالَة', 'سَبِيل', 'بَيْت', 'مَأْتَى', 'رَبِيع']"
5394,"['أَبَى', 'حِسْبَة', 'وَقْت', 'مات', 'مُحَرَّم', 'ٱِثْنَتانِ', 'رَخِي', 'الطلوني', 'الضرير']"
5395,"['عَجَمِيّ', 'فَرْضِيّ', 'أَزال', 'مات', 'بِيمارِسْتان', 'رَبِيع', 'آخَر', 'دَفَن', 'رَخِي', 'عارِف', 'فَرِيضَة', 'حاوِي', 'صَغِير', 'مَعْرِفَة', 'حَسَن', 'أَقْرَأ']"
5396,"['عَجَمِيّ', 'بَوّاب', 'صَغِير', 'مات', 'رَجَب', 'ٱِثْنَتانِ', 'رَخِي', 'قَلْيُوبِيّ', 'والِد', 'المخبزي', 'اللوبياني']"
5397,"['مَصْرَع', 'عَرَف', 'أَيْض', 'إِمام', 'كَوْن', 'والِد', 'أَمِير', 'مَصْرَع', 'حِفْظ', 'قُرْآن', 'بَرَع', 'فَنّ', 'صِراع', 'لَقَب', 'شاطِر', 'رُبَّما', 'قَرَأ', 'مَحْفِل', 'جَوْق', 'تَبَرَّع', 'رَقَّى', 'سُلْطان', 'تَوَلَّى', 'تَحَدُّث', 'مَشْهَد', 'زاوِيَة', 'بالقرافتين', 'كُبْرِي', 'أَصْغَر', 'أَثَر', 'مات', 'رَبِيع', 'مَحا']"
5398,"['مِصْرِيّ', 'يَد', 'مات', 'حُجَّة', 'رَخِي', 'مَنْجَم', 'أَدِيب']"
5399,"['عَرَف', 'صُوفِيّ', 'حَنْبَلِيّ', 'مُباشِر', 'مِيقات', 'سَمِع', 'قاضِي', 'مَذْهَب', 'ٱِخْتَصّ', 'خَطِيب', 'خَطِيب', 'مَضَى']"
5400,"['يَمانِيّ', 'شَهِير', 'جَماعَة', 'مات', 'جُمادَى', 'سَعَى', 'وجيء', 'دَفَن', 'مَعْلاة']"
5401,"['أَعْجَمِيّ', 'مُقِيم', 'ظاهِر', 'الحسينيه']"
5402,"['البدري', 'شاعِر']"
5403,"['الجيعاني', 'الغراقي', 'فَرْضِيّ']"
5404,"['سبكي', 'ٱِبْن', 'مُشار', 'قَرِيب']"
5405,"['مَكِّيّ', 'أَخ', 'مات', 'مُنْتَصَف', 'رَبِيع', 'ٱِبْن', 'ٱِسْم', 'ٱِبْنَة']"
5406,"['مَكِّيّ', 'ماضِي', 'أَب', 'أُمَّة', 'وَلَد', 'ثَمانِمائَة', 'بِيض', 'مات', 'صَغِير']"
5407,"['سَمَّى', 'أَصْل', 'نِسْبَة', 'وَلَد', 'ثَمانِمائَة', 'شَأَو', 'حِفْظ', 'قُرْآن', 'حِفْظ', 'عَرَض', 'ٱِشْتَغَل', 'سار', 'فِقْه', 'فِقْه', 'والِد', 'طَلَب', 'سَمِع', 'صَحِيح', 'مُسْلِم', 'أَجاز', 'ٱِبْنَة', 'جَمال', 'آخَر', 'حَدَث', 'باخِرَة', 'صَحِيح', 'مُسْلِم', 'مَرَّة', 'بَرَع', 'تَعْبِير', 'قَصَد', 'عَمِل', 'مُقَدِّمَة', 'أَقَرّ', 'أَقَرّ', 'عَرَبِيّ', 'صَنَّف', 'أَيْض', 'مُقَدِّمَة', 'سَمَّى', 'كاشِف', 'لَفْظ', 'عَرَب', 'أَقَرّ', 'دَرْس', 'جامِع', 'نِيابَة', 'ٱِبْن', 'أُخْت', 'عَمِل', 'شَيْخ', 'البيبرسيه', 'خَيْر', 'كَثِير', 'تَوَدُّد', 'والانجماع', 'تَقَنُّع', 'مات', 'شُوال', 'دَفَن', 'أَب', 'رَحِم', 'إِيّا']"
5408,"['مَكِّيّ', 'شافِعِيّ', 'أَخ', 'أَب', 'ٱِسْم', 'تَقْرِيب', 'حِفْظ', 'قُرْآن', 'والشاطبيه', 'نَوَوِيّ', 'مِنْهاج', 'طَيِّب', 'إِلْف', 'عَرَض', 'ٱِشْتَغَل', 'جَمْع', 'عَضّ', 'خَيْر', 'مُتَعَبِّد', 'زائِد', 'فاقَة', 'شَعْر', 'مَنْسُوب', 'نَبِيّ', 'وَرِث', 'أَب', 'سَمِع', 'مُجاوِر', 'خُطَّة', 'جَيِّد', 'كَتَب', 'نُسْخَة', 'مَضْبُوط', 'مُتَّقِن', 'شَيْخ', 'آن', 'سَمِع', 'قَرَأ', 'أَبَى', 'إِمامَة', 'زَوْج', 'عَمَّة', 'رَمَضان', 'مَوْت', 'صَلَّى', 'رَجُل', 'فاسِيّ', 'قُدْسِيّ', 'مَدَنِيّ']"
5409,"['جَمال', 'والِد', 'بَدْر', 'عَرَف', 'قاضِي', 'شَرْق', 'كُنْيَة', 'وَلَد', 'لَيْلَة', 'عِيد', 'ٱِثْنَتانِ', 'ثَمانِمائَة', 'مَأْتَى', 'أَخ', 'ٱِسْم', 'ٱِشْتَغَل', 'القاياتي', 'طاعُون', 'قَدَّم', 'مِيراث', 'حِفْظ', 'قُرْآن', 'بَهِج', 'أَلْفِيّ', 'قُطْن', 'نَظَر', 'تِلْمِيذ', 'فَقِيه', 'طَبَق', 'يسترفق', 'فِقْه', 'دَرَّب', 'صِناعَة', 'لازِم', 'الخواص', 'فِقْه', 'فَرِيضَة', 'أَصْل', 'عَرْض', 'قَرَأ', 'غالِب', 'شَرْح', 'بَهِج', 'أَزْمَة', 'كَثِير', 'كَتَب', 'أَجاد', 'كَسَب', 'شَهادَة', 'مَيَّز', 'جَلَس', 'مُدَّة', 'أَبَى', 'قَضاء', 'كَتَب', 'تَوْقِيع', 'باب', 'حَجّ', 'رَفِيق', 'سَمِع', 'يَسِير', 'جاوَر', 'مُتَوالِي', 'سافَر', 'قَضاء', 'رُكْبَة', 'مَرَّة', 'أُخْرَى', 'ٱِخْتَصّ', 'تَكَلَّم', 'نَظَر', 'قُرْب', 'بردبك', 'زاد', 'ٱِخْتِصاص', 'تَكَلَّم', 'أَيْض', 'تَوَقَّع', 'خِلاف', 'خُصُوص', 'جُمْلَة', 'ذَكَر', 'إِلّا', 'خَيْر', 'بادِرَة', 'لَذِيذ', 'إِهانَة', 'قايتباي', 'مَرَّة', 'فِعْل', 'قَوْل', 'إِهانَة', 'مات', 'جُمادَى', 'أُولَى', 'سَعَى']"
5410,"['ٱِسْم', 'وَلَد', 'ثَمانِمائَة', 'سَمِع', 'أَب', 'آخَر', 'أَجاز', 'جَماعَة', 'ٱِسْتَقَرّ', 'عَضّ', 'جِهَة', 'أَب', 'قَدَّم', 'مَرَّة', 'سَعَى']"
5411,"['نُور', 'أَصْل', 'قاهِرِيّ', 'شافِعِيّ', 'ماضِي', 'أَب', 'عَرَف', 'سَلَف', 'وَلَد', 'ثَمانِمائَة', 'شَأَو', 'حِفْظ', 'قُرْآن', 'عُمْدَة', 'والشاطبيه', 'تَنْبِيه', 'إِلْف', 'عَرَض', 'جَماعَة', 'شَيْخ', 'أَزْمَة', 'فِقْه', 'فَرِيضَة', 'حِساب', 'فِقْه', 'آخَر', 'سَمِع', 'آخَر', 'رَشِيدِيّ', 'خَتَم', 'ظاهِرِيّ', 'شَيْخ', 'أَبَى', 'البهنسا', 'عَمَل', 'عَرَض', 'عَمّ', 'كَسَب', 'شَهادَة', 'أَبَى', 'قَضاء', 'جَلَس', 'حانُوت', 'رَسّام', 'أَبَى', 'باخِرَة', 'خِطابَة', 'جامِع', 'حَجّ', 'نَزَل', 'صُوفِيّ', 'جِهَة', 'كَتَب', 'خُطَّة', 'كَثِير', 'كَتَب', 'قَوْل', 'بَدِيع', 'تَرْجَمَة', 'كُلْوَة', 'تَصْنِيف', 'مات', 'سَعَى', 'رَحِم']"
5412,"['نائِب', 'أَيْض', 'مات', 'لَيْلَة', 'ٱِثْنَيْنِ', 'رَبِيع', 'سَعَى', 'حَرَّر', 'مَذْكُور', 'مَضَى']"
5413,"['ٱِشْتَغَل', 'أَب', 'وَلِيّ', 'قَضاء', 'عَمَل', 'شَيْخ', 'ٱِبْن', 'وَخَى', 'ماضِي', 'مَأْتَى']"
5414,"['أَصْل', 'مَحَلِّيّ', 'أَزال', 'وَلَد', 'حِفْظ', 'قُرْآن', 'نِصْف', 'مَنْظُومَة', 'زَبَد', 'قَرَأ', 'دَرْس', 'صِرْف', 'عَضّ', 'صاحِب', 'أَب', 'حَضَر', 'فِقْه', 'سَمِع', 'قَلِيل', 'تَزَوَّج', 'ٱِبْنَة', 'أَخ', 'ٱِبْنَة', 'شَيْخ', 'ٱِبْنَة', 'آخَر', 'جارِي', 'جَمْع', 'سَكَن', 'والِد', 'جامِع', 'ٱِفْتَقَر', 'نَفَقَة', 'كَسَب', 'حاز', 'جِهَة', 'والِد']"
5415,"['عَرَف', 'كهما', 'شَأَو', 'مُتَكَسِّب', 'صِناعَة', 'سَلَف', 'غُضُون', 'ٱِشْتَغَل', 'فِقْه', 'فَهِم', 'جُمْلَة', 'حَجّ', 'مَوْسِمِيّ', 'تَزَوَّج', 'ٱِبْنَة', 'حَجّ', 'جاوَر', 'حَضَر', 'قاضِي', 'قَلِيل', 'عَرَض', 'ٱِشْتِغال', 'لَزِم', 'حَرَّف', 'كَرَّر', 'مَجِيء', 'جامِع', 'مَضَى', 'عَدْوَى']"
5416,"['سَكَّن', 'مالِكِيّ', 'ماضِي', 'أَب', 'قَرَأ', 'ٱِشْتَغَل', 'قَلِيل', 'فِقْه', 'لازَم', 'قِراءَة', 'تَكَسَّب', 'تِجارَة', 'شَرَف']"
5417,"['يَمانِيّ', 'ماضِي', 'أَب', 'مات', 'حَياة', 'حاضَر', 'هِمَّة', 'قَوِيّ', 'ضُعْف', 'بِنْيَة', 'ذَكَر', 'أَب']"
5418,"['هِنْدِيّ', 'أَصْل', 'مَكِّيّ', 'حَنَفِيّ', 'وَلَد', 'سَمِع', 'سَمِع', 'أَجاز', 'عِراقِيّ', 'آخَر', 'دَخَل', 'طَلَب', 'مات', 'رَجَب', 'شَعْبان', 'ذَكَر']"
5419,"['مَكِّيّ', 'مالِكِيّ', 'وَلَد', 'رَبِيع', 'سَمِع', 'أَجاز', 'جَماعَة', 'دَخَل', 'أَب', 'أَخ', 'صُحْبَة', 'حاجّ', 'مَوْسِم', 'ٱِثْنَتانِ', 'مات', 'طاعُون', 'رَخِي']"
5420,"['مَكِّيّ', 'ماضِي', 'أَب', 'مات', 'مَطْعُون', 'سَعَى']"
5421,"['مَكِّيّ', 'ماضِي', 'أَب', 'أُمَّة', 'بِيض', 'مات', 'صَغِير']"
5422,"['شَيْخ', 'قارِئ', 'أَب']"
5423,"['مالِكِيّ', 'قاضِي', 'أَخ', 'جَمال', 'وَلَد', 'سَعَى', 'قَرْيَة', 'كَسْر', 'تَشْدِيد', 'تَحْتانِيّ', 'عَمَل', 'طائِف', 'شَأَو', 'حِفْظ', 'قُرْآن', 'تَلا', 'وَرْشَة', 'رِسالَة', 'وَلِيّ', 'قَضاء', 'وَخَى', 'أَزْمَة', 'حَجّ', 'غالِب', 'زار', 'نَبِيّ', 'لَقِي', 'بقاعي', 'أَرْض', 'دَعا', 'أَيْسَر', 'أَرْض', 'شارِع', 'قَرَأ', 'حَدِيث', 'إِجازَة', 'أَجاز', 'جَمال', 'نَقَل', 'سَيِّء', 'سِيرَة', 'قَضاء', 'شَهادَة', 'حال', 'مات']"
5424,"['مِصْرِيّ', 'أَصْل', 'مَكِّيّ', 'عَرَف', 'مات', 'رَبِيع', 'رَخِي', 'والِد', 'خِدْمَة', 'وَلَد']"
5425,"['سَمَّى', 'الكازروني', 'أَصْل', 'مَكِّيّ', 'رَئِيس', 'مُؤَذِّن', 'عَرَف', 'وَلَد', 'شَعْبان', 'ثَمانِمائَة', 'شَأَو', 'ذَكَر', 'قَرَأ', 'رُبْع', 'تَنْبِيه', 'وَلِيّ', 'رِئاسَة', 'مُؤَذِّن', 'والِد', 'شَرِيك', 'أَخ', 'مات', 'إِخْوَة', 'شارَك', 'وَلَد', 'أَيْض', 'تَسْبِيح', 'مَنار', 'باب', 'نِصْف', 'أُذُن', 'باب', 'عُمْرَة', 'مَنْع', 'مَرَّة', 'أُذُن', 'أَعاد', 'أَلْيَس', 'ذَكَر', 'رَجا', 'غُفْران', 'سَبَب', 'قِيام', 'لَيْل', 'ذَكَر', 'تَعالَى', 'سِحْر', 'سَمِع', 'رافَق', 'طائِف', 'مات', 'عَلَّل', 'رَبِيع', 'دَفَن', 'عَصْر', 'سَلَف', 'مَعْلاة', 'تَجاوُز', 'رَحْمَة']"
5426,"['الجوجري', 'مِصْرِيّ', 'أَزال', 'أَوْصَى', 'مَرَض', 'مَوْت', 'إِلْف', 'شِراء', 'دار', 'تَوَقُّف', 'سَبِيل', 'فَرّ', 'يقرءون', 'جُزْء', 'طاف', 'أُسْبُوع', 'نَظَر', 'يَحْيَى', 'مَغْرِبِيّ', 'جَمال', 'مَأْتَى', 'مُسْتَهَلّ', 'حُجَّة', 'ٱِثْنَتانِ', 'رَخِي', 'ٱِشْتَرَى', 'دار', 'باب', 'خَرَّب', 'تَعَطَّل', 'مُدَّة', 'ٱِسْتَأْجَر', 'جَمال', 'آخِر', 'سَعَى', 'أَوائِل']"
5427,"['مَكِّيّ', 'شافِعِيّ', 'ماضِي', 'أَب', 'مَقام', 'سَمِع', 'أَب', 'أَجاز', 'جَماعَة', 'صَلاح', 'أَبَى', 'إِمامَة', 'أَب', 'رَغِب', 'وَصَف', 'مَرَض', 'مَوْت', 'لَبِث', 'مات', 'مَقْتُول', 'خَطا', 'عَسَس', 'وَدّ', 'سَيِّد', 'سَلَّم', 'دِيَة', 'وَرِث']"
5428,"['غَنَم', 'مُباشِر', 'جامِع', 'اصلم', 'مات', 'رَبِيع']"
5429,"['مات', 'سَعَى', 'ٱِفْتَقَر', 'جِدّ', 'ثَرْوَة', 'تَقَدُّم', 'حَرَّف', 'ذَكَر', 'رَفِيق', 'مَكْتَب']"
5430,"['قاهِرِيّ', 'مالِكِيّ', 'ماضِي', 'أَب', 'وَلَد', 'شُوال', 'ثَمانِمائَة', 'حَضَر', 'جَدّ', 'قَلِيل', 'أَجاز', 'خَلْق', 'ٱِشْتَغَل', 'تَكَسُّب', 'أَنْتَج', 'قَرَأ', 'زَوْج', 'أُخْت', 'فِقْه', 'خالَط', 'فَقِيه', 'تَمَيَّز', 'أَبَى', 'قَضاء', 'وَرِث', 'والِد', 'أُخْت', 'أَبَى', 'دارا', 'قُرْب', 'حانُوت', 'داخِل', 'باب', 'تَزَوَّج', 'غُضُون', 'ٱِبْنَة', 'ٱِغْتَبَط', 'حَجّ', 'مَوْسِمِيّ', 'ذَكَر', 'قَضاء', 'إِلّا', 'خَيْر', 'الخانكي']"
5431,"['مات', 'رَمَضان', 'دَفَن', 'بترتبهم', 'مَحَلّ', 'دَفْن', 'شَيْخ', 'عَفا']"
5432,"['شادِي', 'جامِع', 'مَعْرُوف', 'فُجُور', 'قَدَم', 'ضَرْب', 'مَرَّة', 'آخَر', 'قُبَيْلَ', 'مَوْت', 'مَأْتَى', 'رَمَضان', 'صَلَّى', 'صَلاة', 'عَفا']"
5433,"['أَخ', 'جَلال', 'مات', 'قَعْدَة', 'ٱِسْم', 'عامِّيّ', 'مُتَمَوِّل', 'عامَل', 'تَجَر', 'ظَنّ', 'سَماع', 'وَلِيّ', 'عِراقِيّ']"
5434,"['مات', 'شُوال', 'ٱِثْنَتانِ', 'سَعَى']"
5435,"['أَخ', 'بَدْر', 'حَرَكَة', 'كَرَّم', 'صادِر', 'سُلْطان']"
