place,geometry,toponyms,value_counts
Q20305263,Point(43.395555555 16.296666666),['القبة'],8.0
Q20303586,Point(44.31 16.723888888),['القبة'],8.0
Q20305033,Point(43.781111111 17.001388888),['البركة'],8.0
Q270041,Point(42.951111111 14.802222222),"['حديده, حديدة, الحدیدة', 'الحديدة']",8.0
Q138986,Point(43.316666666 14.2),"['زبيد مدينه, زبيد', 'الحديدة', 'زبيد']",8.0
Q1098874,Point(42.67305556 15.31083333),"['الصليف', 'الحديدة']",8.0
Q12186704,Point(31.01449 29.232036),"['الحمام', 'بنى سويف', 'الحمام', 'بني سويف']",8.0
Q12248747,Point(43.489743 14.474142),"['نفحان', 'الحديدة']",8.0
Q428858,Point(39.826111111 21.4225),"['الحرم المكي, الحرم المكي الشريف, بيت الله الحرام, حرم مكي', 'المسجد الحرام']",8.0
Q17363989,Point(36.273 35.67),['البركة'],8.0
Q20301638,Point(45.257222222 14.053055555),['الحديدة'],8.0
Q20301646,Point(43.7725 13.187222222),['الحديدة'],8.0
Q5392456,Point(-3.850833333 33.191944444),"['الرميله المغرب', 'الرميلة']",7.0
Q17342199,Point(37.0322 35.3731),['عرفه'],7.0
Q12216968,Point(31.207011111 30.805738888),"['قرية سنباط', 'سنباط']",7.0
Q20302108,Point(45.355555555 15.4625),['الرميلة'],7.0
Q20299552,Point(43.357777777 16.679166666),['المشرق'],7.0
Q3424517,Point(6.9 35.569444444),['الرميلة'],7.0
Q6783109,Point(70.101388888 36.816666666),['مشهد'],7.0
Q20305937,Point(45.705 14.044444444),['حصن'],7.0
Q7379131,Point(49.729 25.413),"['الرميله, الرميله السعوديه', 'الرميلة']",7.0
Q929062,Point(74.078888888 32.573611111),['كجرات'],7.0
Q6052957,Point(30.945347 31.236546),['الرياض'],6.0
Q20305739,Point(43.721666666 16.935),['الزاوية'],6.0
Q20309605,Point(50.313888888 15.035),['زمزم'],6.0
Q9158760,Point(10.853669 33.821008),"['الرياض جربه', 'الرياض']",6.0
Q839456,Point(31.233333333 30.0),"['فسطاط', 'الفسطاط']",6.0
Q172251,Point(36.657222222 33.967222222),['يبرود'],6.0
Q852735,Point(8.833333333 35.166666666),"['الڨصرين', 'القصرين']",6.0
Q12225503,Point(43.58737 15.45411),"['السلطان', 'عزلة السلطان']",6.0
Q3692,Point(46.71 24.65),['الرياض'],6.0
Q221503,Point(12.729722222 32.754444444),"['زاوية, الزاويه, مدينة الزاوية, مدينة الزاوية ليبيا', 'الزاوية']",6.0
Q20303536,Point(43.276388888 16.144722222),['السلطان'],6.0
Q20302469,Point(44.258888888 16.534722222),['السفح'],6.0
Q601130,Point(50.191944 26.273611),"['الثقبه, حي الثقبة', 'مقبرة العود', 'الرياض']",6.0
Q20309604,Point(44.385 16.914444444),['زمزم'],6.0
Q101625,Point(-7.98108 31.62947),"['مدينة مراكش, الصحراء الشرقية المغربية, المدينة الحمراء', 'مراكش']",5.0
Q20299880,Point(43.441944444 16.1425),['الحمام'],5.0
Q20300164,Point(43.293333333 16.285),['الوزير'],5.0
Q12186702,Point(29.394 30.8419),"['حمام مطروح', 'الحمام']",5.0
Q21743301,Point(36.259167 35.960556),['الناصرة'],5.0
Q23934694,Point(31.20071 30.35394),['طوخ'],5.0
Q20305927,Point(43.759166666 16.938611111),['باب السلام'],5.0
Q17363991,Point(36.46027778 35.40805556),['دقماق'],5.0
Q3303175,Point(36.25833333 33.50305556),"['مزة, المزة, المزة حي في دمشق, المزه, حي المزة, مزة', 'المزة']",5.0
Q12225320,Point(43.73297 14.54553),"['الجون', 'عزلة الجون']",5.0
Q227509,Point(47.708055555 30.389166666),"['قضاء الزبير, قظاء الزبير, مدينة الزبير', 'الزبير']",5.0
Q15178875,Point(36.28583333 34.78777778),['الناصرة'],5.0
Q486080,Point(39.610833333 24.468333333),"['الحرم المدني, الحرم النبوي, الحرم النبوي الشريف, المسجد النبوي الشريف, مسجد الرسول, مسجد النبي', 'المسجد النبوي']",5.0
Q430776,Point(35.29785 32.702102777),"['الناصرة في المسيحية, الناصره, مدينة الناصرة, ناصرة, ناصيرات, نتسرات', 'الناصرة']",5.0
Q12226756,Point(43.24289 16.94759),"['شعبان', 'عزلة شعبان']",5.0
Q20300019,Point(43.806388888 13.3625),['الحمام'],5.0
Q97291030,Point(39.0443085 22.7860483),['رابغ'],5.0
Q12225243,Point(44.30338 13.71956),"['التربة', 'عزلة التربة']",5.0
Q6960587,Point(35.826914 34.364799),['نخلة'],5.0
Q20384841,Point(-5.723333333 32.76),['الحمام'],5.0
Q12225244,Point(44.11976 13.21163),"['التربة', 'عزلة التربة']",5.0
Q1068140,Point(30.945555555 31.088055555),"['السخا', 'سخا']",5.0
Q1649445,Point(7.21305556 35.37388889),"['المحمل خنشله, تازوقاغت', 'المحمل']",5.0
Q20305303,Point(43.313611111 16.661388888),['التربة'],5.0
Q4166604,Point(31.714722222 31.329722222),['فارسكور'],5.0
Q12181866,Point(30.86376 30.83844),['ابيار'],4.0
Q27155,Point(8.7 36.166666666),['الكاف'],4.0
Q20301492,Point(43.317777777 16.914722222),['الحصن'],4.0
Q15178835,Point(36.29694444 34.75888889),"['قلعة الحصن', 'الحصن']",4.0
Q20299494,Point(43.351388888 16.158055555),['الحجار'],4.0
Q20300517,Point(44.296666666 16.505555555),['الحصن'],4.0
Q12226717,Point(43.93393 14.91811),"['سهام', 'عزلة سهام']",4.0
Q20301484,Point(45.478611111 14.975833333),['الحصن'],4.0
Q20299105,Point(43.262777777 16.084166666),['بني جابر'],4.0
Q428943,Point(45.295013888 13.293138888),['الحصن'],4.0
Q276534,Point(27.983333333 7.7),"['مدينة واو', 'واو']",4.0
Q12226521,Point(43.04851 16.47086),"['حرض', 'عزلة حرض']",4.0
Q20299031,Point(43.7825 13.470277777),['عقبة'],4.0
Q17332553,Point(36.7889 35.1667),['جبرين'],4.0
Q3127238,Point(49.065277777 24.145555555),['حرض'],4.0
Q2988951,Point(30.295555555 31.305833333),"['ادكو', 'ادكو']",4.0
Q336724,Point(31.205277777 30.199722222),['قليوب'],4.0
