,Automated,Manually,similarity_score
0,إبراهيم بن أبي بكر بن إبراهيم بن محمد بن إسماعيل بن محمد بن حسن صارم الدين العامري,إبراهيم بن أبي بكر بن إبراهيم بن محمد بن إسماعيل بن محمد بن حسن صارم الدين العامري اليماني الحرضي,97.36795920896914
1,اليماني الحرضي  الآتي,اليماني الحرضي ,86.60254037844388
2,يحيى بن أبي بكر بن محمد العامري,شيخ يحيى بن أبي بكر بن محمد العامري,93.9336436627724
0,أحمد بن محمد بن يوسف بن محمد بن منصور بن موسى الشهاب الشويكي,احمد بن محمد بن يوسف بن محمد بن منصور بن موسى الشهاب الشويكي الاصل الخليلي الازرقي الشافعي ,89.32746021179418
3,ابن حجى,ابن حجى,100.00000000000003
4,ابن ناصر الدين,ابن ناصر الدين,99.99999999999999
0,إبراهيم بن محمد بن محمد بن محمد بن محمد بن محمد بن محمد بن محمد بن محمد برهان الدين أبو إسحاق بن العلم الزبيري النويري,ابراهيم بن محمد بن محمد بن محمد بن محمد بن محمد بن محمد بن محمد بن محمد برهان الدين ابو اسحاق بن العلم الزبيري النويري القاهري الشافعي,97.46485633185249
1,ابن ماجه,ابن ماجه,100.00000000000003
2,الجمال الحلاوى,الجمال الحلاوى,100.00000000000003
4,العلاء القلقشندي,العلاء القلقشندي الغطاس,77.45966692414834
5,الشرفي الأنصاري,الشرفي الأنصاري,100.00000000000003
6,علم الدين,القاضي  علم الدين,77.45966692414834
0,أحمد الشهاب المدني,أحمد الشهاب المدني النشار,84.51542547285165
0,أحمد بن على بن محمد الشهاب الغزي الحنفي,احمد بن علي بن محمد الشهاب الغزي الحنفي ,70.58823529411765
1,يحيى الواعظ,يحيى الواعظ,100.00000000000003
4,المحب بن حرباش,المحب بن حرباش,99.99999999999999
5,عبد الله الشامي,عبد الله الشامي,99.99999999999999
