,index,value_counts
417,الحبانية,3
418,قليوب,3
419,بابوتيج,3
420,وكنباية,3
421,القرافة الصغرى,3
422,سكندرية,3
424,التكرور,3
434,البهنسا,3
425,اليسير,3
426,حج,3
427,الحصن,3
428,ايساغوجي,3
429,زقاق,3
430,الزردكاشية,3
431,سعيد السعداء,3
433,باطفيح,3
456,السفح,3
432,الوراق,3
458,البطن,3
491,بالبرلس,3
482,الشرب,3
483,المحروق,3
484,سكون,3
485,عقبة أيلة,3
486,البنجالية,3
487,الناصرة,3
488,المسجد النبوي,3
489,الأجواق,3
492,خاصكية,3
480,بانبابة,3
493,أبي,3
494,سبيل المؤمني,3
495,تركمان,3
496,استادارية,3
497,صفيه,3
498,إسرائيل,3
459,القرشية,3
499,فارسكور,3
481,قجماس,3
490,ناحية,3
479,بالمؤمني,3
469,أردبيل,3
460,قلعة الروم,3
461,الجموم,3
478,البغاددة,3
462,وادي لية,3
463,بتروجة,3
464,قسطنطينية,3
466,ببرصا,3
467,صيدا,3
468,والمجاهدية,3
465,طبلخانات,3
476,الكلاسة,3
471,الاتابك,3
472,الحجوبية,3
477,مني,3
473,بنى سويف,3
474,المؤيد,3
475,الأشقر,3
470,دلي,3
889,ايلياء,2
880,بالكاملية,2
881,باب اللوق,2
882,أنشئت,2
883,البادرائية,2
888,بالقرابيص,2
884,بالبيرسية,2
885,باللجون,2
886,بوادياش,2
887,الأشرف اينال,2
878,بقراط,2
879,وسمنود,2
870,الشاذلية,2
877,سفح,2
876,مهملة,2
875,الصاحبية,2
874,خري,2
873,الأقصر,2
872,الكدراء,2
871,ببخارا,2
869,الجديدة,2
868,كمال,2
891,بليدة,2
867,السودان,2
890,بالصليبة,2
912,حرمه,2
892,سلطنة العزيز,2
906,إقليم,2
865,المستنصرية,2
917,بني وفا,2
916,رامشت,2
915,تجمل,2
914,القابون,2
913,والحمامين,2
911,الميمون,2
910,القوس,2
909,العارض,2
908,بندر,2
907,للصاحبية,2
905,المارستان,2
893,دموه,2
904,جمادى الأولى,2
903,الصاغة,2
902,البردبكية,2
901,ذروة,2
900,حسين,2
899,الكلبكية,2
898,جركسية,2
897,الأتراك,2
896,دار العدل,2
895,سبك,2
894,بوش,2
866,البئر,2
822,المالكية,2
864,الزبير,2
823,الطريني,2
834,الصلاحية,2
833,بالحبانية,2
832,المزاحميتين,2
831,سويقه العزى,2
830,أحمداباد,2
829,الحدس,2
828,أبسط,2
827,الحصى,2
826,الخراطين,2
825,باذرنة,2
824,ساروجا,2
919,العوالي,2
836,الشعرية,2
821,والبرلس,2
820,أيام,2
819,جزيرة,2
818,كفر بطنا,2
817,هوت,2
816,بالنويرة,2
815,أر,2
814,بالغراقة,2
813,مملكة,2
812,طرخانا,2
811,بسوهاي,2
835,قبة المنصورية,2
837,الأبطح,2
863,الكوم الأبيض,2
851,البسطامي,2
862,منية عقبة,2
861,بالقابون,2
860,ك+ الهند,2
859,تربة قجماس,2
858,الألفية,2
857,العناب,2
856,بقارا,2
855,قطلبك,2
854,حذاء,2
853,أوسط,2
852,الصفا,2
850,قطلوبغا,2
838,مرج بني عامر,2
849,مسلم,2
848,أدنى,2
847,الجامع,2
846,طي,2
845,قنطرة طقزدمر,2
844,عساس,2
843,العقيق,2
842,بكالكوط,2
841,سويقه الفيل,2
840,قرآ,2
839,صلاحية,2
918,الكنز,2
962,بقلقشندة,2
920,خان الخليلي,2
990,السين,2
1001,حرض,2
1000,طائل,2
999,المقارزة,2
998,الشارع,2
997,بالاشمونين,2
996,معجمه,2
995,قبة,2
994,لية,2
993,والحسنية,2
992,اورنة,2
991,الجوانية,2
989,صودر,2
976,حمير,2
988,الأغوار,2
987,السلامية,2
986,ازدمر,2
985,صاب,2
984,بيت هيأ,2
983,الغريبة,2
982,البندر,2
981,اشموم,2
980,بني جابر,2
979,الإسماعيلية,2
978,وقوص,2
1002,بالقانبهية,2
1003,بجبرين,2
1004,المغاربة,2
1005,خان السبيل,2
809,أبهه,2
1027,خازنداره,2
1026,واصبهان,2
1025,المحرم,2
1024,الرحمة,2
1023,أوراس,2
1022,أبي عريش,2
1021,بالمويلحة,2
1020,برشانة,2
1019,المومني,2
1018,الكشكشي,2
1017,كوم الريش,2
1016,لفارسكور,2
1015,قرمان,2
1014,وادي مرفي,2
1013,بالبيجور,2
1012,الجوهرية,2
1011,درهمين,2
1010,السعدية,2
1009,الغد,2
1008,زفتا,2
1007,دمر,2
1006,الخجندي,2
977,جلجوليا,2
975,سويقه اللبن,2
921,الحكر,2
934,أقوس,2
945,تربة الناصر,2
944,ودسوق,2
943,تمامه,2
942,كنانة,2
941,منجك,2
940,البرهان,2
939,الدهقلية,2
938,أدبا,2
937,منية سمنود,2
936,الأحباس,2
935,قطيه,2
933,المحمل,2
974,سعسع,2
932,بالبلبيسي,2
931,باب الفرج,2
930,تربة ماملا,2
929,سكننا,2
928,والسعيدية,2
927,تازه,2
926,جبل جوشن,2
925,شوال,2
924,باشليم,2
923,منية غمر,2
922,وفوه,2
946,بدهروط,2
947,رباط ربيع,2
948,أبو تيج,2
949,الدقهلية,2
973,وسرمين,2
972,النور,2
971,منية بنى سلسيل,2
970,حرم,2
969,بالكواز,2
968,تنوخ,2
967,بشطنوف,2
966,النبوي,2
965,التنضب,2
964,شقراء,2
963,الخزن,2
961,الرحبة,2
960,قلقيليا,2
959,الطبلخانات,2
958,الجملون,2
957,بالحجون,2
956,بالشاغور,2
955,المثناة,2
954,أقصرا,2
953,زائد,2
952,بركة الرطلى,2
951,الطولونية,2
950,شبري الخيمة,2
810,بالجعفرية,2
780,النويرة,2
808,زائدة,2
656,الجوالي,2
667,موحدة,2
666,بالدوادارية,2
665,ببلقينة,2
664,ك+ بغداد,2
663,نادر,2
662,محمود,2
661,بايج,2
660,الاخورية الكبري,2
659,أدرنه,2
658,مهر,2
657,بقطيا,2
655,الحسام,2
669,باب القرافة,2
654,طيبغا,2
653,قلائل,2
652,الاذرعي,2
651,سيس,2
650,آلاها,2
649,لقس,2
648,تركستان,2
647,شورى,2
646,بطلخا,2
645,والبدرية,2
644,جبل,2
668,شقحب,2
670,المملكة الحلبية,2
697,الابوبكرية,2
684,بالخبت,2
695,العمائر,2
694,عينتاب,2
693,بابناس,2
692,جانم,2
691,الاستادار,2
690,بالقفصي,2
689,بيت الله,2
688,برددارية,2
687,المغرب الأوسط,2
686,قرقماس,2
685,س+ يحون,2
683,الانكحة,2
671,الجزيرة الوسطي,2
682,وببلبيس,2
681,والقيسارية,2
680,بيرو,2
679,بابرقوه,2
678,بندره,2
677,وطوخ,2
676,قلعة المرقب,2
675,الزاوية الحمراء,2
674,سجين,2
673,بقوج,2
672,حجوبية,2
643,النابلسية,2
642,الدرب الأصفر,2
641,جيرون,2
600,الشمس الغماري,2
611,بيت الدوادار,2
610,التربة الNOAN,2
609,بدماص,2
608,بالاقصرائي,2
607,بندر زيلع,2
606,دير,2
605,كختا,2
604,للزمامية,2
603,غيط,2
602,الجيعانية,2
601,النوبة,2
599,إشبيلية,2
640,ك+ مران,2
598,حدره البقر,2
597,بيبغاروس,2
596,اشمون,2
595,شيخنا,2
594,الخطارة,2
593,روميه,2
592,بلولة,2
591,رأس العين,2
590,جوجر,2
589,بالبندقدارية,2
807,لقطيا,2
612,قليشان,2
613,بسمهود,2
614,كركر,2
615,الكائنة,2
639,تلا,2
638,بالبدرية الخروبية,2
637,المحمودية,2
636,بالمرجوشية,2
635,تفهنا,2
634,همزة,2
632,بالغزالية,2
631,أنشآه,2
630,دابول,2
629,المناوي,2
628,الميم,2
627,عنبتا,2
626,سروعة,2
625,اشقتمر,2
624,ميم,2
623,بالوزيرية,2
622,الشامية الجوانية,2
621,بساط,2
620,غمر,2
619,الايدمري,2
618,بالعصرونية,2
617,الدست,2
616,منية ضالة,2
696,درب السلسلة,2
633,تمامها,2
698,التصغير,2
767,برزه,2
778,حجر,2
777,درس,2
776,العشاء,2
775,قونية,2
774,اسعرد,2
773,باخطاب,2
772,الأكراد,2
771,أم كمال,2
770,أفريقية,2
769,يمكة,2
768,بالختنية,2
766,التاج,2
753,بزفتا,2
765,بجاس,2
764,الشاوية,2
763,الصارم,2
762,البحرة,2
761,الأبو,2
760,الهروي,2
759,جياد,2
758,بقجة,2
757,الباب الصغير,2
756,سودون اليشبكي,2
755,الممالك,2
779,كوكاى,2
781,شاه رخ,2
782,الأهرام,2
784,الكلبرجية,2
806,بني نصر,2
805,سعد,2
699,السلطانية,2
804,بسيوط,2
803,الركب,2
802,الطويلية,2
801,عمرو,2
800,بالجيزية,2
799,الطويلة,2
798,الحسا,2
797,الدارقطني,2
796,بالمنجكية,2
795,حكر,2
794,الشمسي,2
793,بنطوبس,2
792,ك+ الكوت,2
791,شاطئ,2
790,عطية,2
789,شارمساح,2
788,تنبك,2
787,اربل,2
786,الراء,2
785,ك+ إسكندرية,2
754,أم القرى,2
783,البحر الملح,2
752,سودون النوروزي,2
711,الوزر,2
723,زهران,2
722,القاياتي,2
721,بجهرم,2
720,العجمي,2
719,شبرا,2
718,باب الجابية,2
717,تيمور,2
716,المهملتين,2
715,الركراكي,2
714,وبالشيخونية,2
712,الوجه القبلي,2
710,الماشي,2
725,طقز,2
709,للدوادار,2
708,صاروجا,2
707,الزحير,2
706,الموحدة,2
705,باسطية,2
704,منعم,2
703,بالرها,2
751,الحمامات,2
702,أبي عروة,2
701,موحدتين,2
700,هولاكو,2
724,مكة بطالا,2
713,السباعين,2
742,الساحل,2
737,حارة زويلة,2
726,والعذراوية,2
746,بالمنشية,2
745,السميساطية,2
744,واربل,2
743,سفاقس,2
749,تربة أم الصالح,2
741,وقطيا,2
740,س+ نقريه,2
739,القرا,2
747,القاهرية,2
748,بقيسارية,2
738,أوقاف,2
736,المنار,2
735,منطاش,2
734,جرباش,2
733,يشأ,2
732,بلاد التكرور,2
731,برقه,2
730,السرياقوسية,2
729,الطبالة,2
728,كلبشا,2
727,الخوافي,2
750,الصاد,2
2453,لصرغل,1
2452,بيت قضاء,1
2454,ولارندة,1
2455,بالقزافة,1
2456,كرك الشوبك,1
2435,تربة طاز,1
2457,الجسر الأبيض,1
2458,سويين,1
2459,جيربك,1
2460,بالحظارة,1
2450,للبلاطنسي,1
2461,الأهرام الجبل,1
2462,الدرب الأحمر,1
2451,بشبيش,1
2440,باخودة,1
2449,منية الميرج,1
2448,سرصفد,1
2447,الخافقين,1
2446,دحيبات,1
2445,لكالكوت,1
2444,الزجاج,1
2443,الاستب,1
2442,الأكابر,1
2441,بالحاجبية,1
2439,بممن,1
2438,أحجار,1
2437,عزار,1
2434,بالطويلية,1
2464,ندمائه,1
2436,أشباه,1
2463,دملوه,1
2488,صهريج,1
2465,إبطال,1
2466,مندوه,1
2495,ببرزة,1
2494,أشهر,1
2432,بتبوك,1
2493,القطب,1
2492,بسواسوا,1
2491,بقاوان,1
2490,بجوخا,1
2489,كربال,1
2487,بالصبانيين,1
2486,ضرير,1
2485,بعجرود,1
2484,مأنوس,1
2483,باب على,1
2482,ماليخوليا,1
2481,زمان,1
2480,مغراوة,1
2479,الأسطوانة,1
2478,خروبيتها,1
2477,سمنديل,1
2476,اشليم,1
2475,محراب,1
2474,القصب,1
2473,ترخان,1
2472,لشاروخ,1
2471,بجردمرد,1
2470,بطوخ بني مزيد,1
2469,منية غمرو,1
2468,دلجة,1
2467,سراي,1
2433,المغنم,1
2379,آخره,1
2431,عيون القصب,1
2382,اركماس,1
2396,القرامطة,1
2395,عذراء,1
2394,النجيبية,1
2393,كنهايت,1
2392,بسندفا,1
2391,ربيع الأول,1
2390,فارتاش,1
2389,جاهنشاه,1
2388,بقنا,1
2387,الطائفة,1
2386,باب الحبسة,1
2385,نوح,1
2384,الخيضري,1
2383,بالساجور,1
2381,الزاوية النعمانية,1
2430,قبله,1
2380,المملكة اليمنية,1
2378,مورع,1
2377,الشخيونية,1
2376,ضحوة,1
2375,البوادي,1
2374,سمهود,1
2373,خطبة,1
2372,بالمعلان,1
2371,بالبشتكية,1
2370,ك+ الينبوع,1
2369,خانكتها,1
2368,الحبعانية,1
2367,وباقراسنقرية,1
2497,دار الأمارة,1
2397,أر الهرموزي,1
2398,المويلحة,1
2399,سعاد,1
2400,الريحانية,1
2429,القبقاب,1
2428,المصرية,1
2427,شام,1
2426,أم خنان,1
2425,وقيسارية,1
2424,بفاقوس,1
2423,المقياس,1
2422,قيصريه,1
2421,والخشقدمية,1
2420,الشمس الجوجري,1
2419,سره,1
2418,دير العشاري,1
2417,الصلحاء,1
2416,القصور,1
2415,الخرم,1
2414,هلمان,1
2413,بالمحرد,1
2412,أجيرك,1
2411,بمليج,1
2410,بالابرقين,1
2409,القوت,1
2408,درب السباع,1
2407,الآثار,1
2406,درب التتر,1
2405,تل حنين,1
2404,بالقهوقية,1
2403,دماص,1
2402,أمد أضمر,1
2401,دمتا,1
2496,الجودرية,1
2606,نمره,1
2498,القاف,1
2582,بسجستان,1
2596,الازلم,1
2595,بنب,1
2594,شقرا,1
2593,الترجمان,1
2592,حانوت الطارمة,1
2591,بشوايط,1
2590,الشمس الغراقي,1
2589,يسألونك,1
2588,أقوابا,1
2587,ك+ لمز,1
2586,صلاح,1
2585,النهرين,1
2584,والانكحة,1
2583,كباس,1
2581,ودركو,1
2565,باذرعات,1
2580,والواووكسر,1
2579,كازو,1
2578,لدماص,1
2577,بقرقماس,1
2576,والزينية,1
2575,بالخروبية البدرية,1
2574,بالمحموية,1
2573,المغربين,1
2572,دركوا,1
2571,المهمندار,1
2570,كوران,1
2569,ببوصير,1
2568,جدري,1
2567,ببنجالة,1
2597,الكوم الريشي,1
2598,المسجد المكي,1
2599,السرور,1
2600,حلس,1
2629,الجشيشة,1
2628,دام,1
2627,بيت الزرندي,1
2626,آخر,1
2625,الجلال,1
2624,بقرايلوك,1
2623,خوزي,1
2622,رأس حارة,1
2621,بني سالم,1
2620,الآخرة,1
2619,السنن,1
2618,السنجاب,1
2617,السويس,1
2616,ك+ الريحانية,1
2615,وبيدمر,1
2614,بفاءين,1
2613,ونطوبس,1
2612,الحرم المدني,1
2611,العتيقة,1
2610,بقابروص,1
2609,قرآ يوسف,1
2608,مكة بالصر,1
2607,كلالة,1
2365,ببلقاس,1
2605,سودون الفقيه,1
2604,سمور,1
2603,بالشخونية,1
2602,الحريق,1
2601,الشمائل,1
2566,التركية,1
2564,بزاز,1
2499,بتبرين,1
2515,سنوت,1
2529,البساصية,1
2528,بحسينية,1
2527,أسباط,1
2526,الاردبيلي,1
2525,خجا,1
2524,أسر,1
2523,أله,1
2522,حرور,1
2521,الحبشية,1
2520,البسطامية,1
2519,قايتاي,1
2518,ضحى,1
2517,ابن,1
2516,رأى,1
2514,المدينة البنوية,1
2563,بلكتمر,1
2513,بخجندة,1
2512,المدائن,1
2511,حنيفة,1
2510,لبسكرة,1
2509,أقصراي,1
2508,بالشغر,1
2507,التفليسي,1
2506,ابن الصلاح,1
2505,الحمرة,1
2504,السمسار,1
2503,البحلاق,1
2502,العاصي,1
2501,بشفتراش,1
2500,بليانة,1
2530,الأسمر,1
2531,الحزورة,1
2532,ك+ تربة,1
2533,ادكوبا,1
2562,الثغر الNOAN,1
2561,العريبة,1
2560,كلبرة,1
2559,نعير,1
2558,بمرعش,1
2557,حوائجه,1
2556,وبارنبار,1
2555,يونس الدوادار,1
2554,زنكلون,1
2553,بشبرا,1
2552,البقاع العزيزي,1
2551,بابوصير,1
2550,القبة الانوكية,1
2549,بعسفان,1
2548,مضيق,1
2547,الشرواني,1
2546,أعراب,1
2545,الشاذبختية,1
2544,روحا,1
2543,عكار,1
2542,ك+ نده الظفاري,1
2541,بمندة,1
2540,كراريس,1
2539,تربة الظاهر رقوق,1
2538,زروق,1
2537,البردة,1
2536,أدارا,1
2535,الجبل التحتاني,1
2534,الحمريين,1
2366,بمنا وهلة,1
2256,درب جقمق,1
2364,باشمون,1
2180,بالغرية,1
2194,السيفي,1
2193,الشوابكة,1
2192,والبديرية,1
2191,ببنب,1
2190,الندا,1
2189,قيدان,1
2188,العدل,1
2187,وادي نخلة الشامية,1
2186,كمشبغا الحموي,1
2185,الماعوصة,1
2184,وادي الآبار,1
2183,الشين,1
2182,بحانقيا,1
2181,حجيرا,1
2179,حطيبة,1
2163,بنى الجيعان,1
2178,الشهاب,1
2177,بذويبة,1
2176,الزبداني,1
2175,خرائب عنتر,1
2174,الزبدانية,1
2173,طبلخناه,1
2172,رشوم,1
2171,المسرطن,1
2170,ابن قرمان,1
2169,إسحاق,1
2168,الإهداء,1
2167,تربة الرأس,1
2166,الفلس,1
2165,الدجاجين,1
2195,صرخد,1
2196,وقرئت,1
2197,صودرا,1
2198,بقلتا,1
2227,الريافة,1
2226,مملكة الحصن,1
2225,كسرياقوس,1
2224,المحمر,1
2223,قطنا,1
2222,غراب,1
2221,جاندار,1
2220,ازدمر الأزبكي,1
2219,بنى غالب,1
2218,العنبريين,1
2217,بندركهنايت,1
2216,الشق,1
2215,بلودره,1
2214,جزيرة بني نصر,1
2213,بجرجة,1
2212,لارنبغا,1
2211,عمائر,1
2210,درب الNOAN,1
2209,بورسا,1
2208,لسكندرية,1
2207,مشال,1
2206,السنهورية,1
2205,ببيرطاز,1
2204,عجلان,1
2203,بركة قرموط,1
2202,الحارة الخاتونية,1
2201,الدواداريشبك,1
2200,خواتيم,1
